position,video_id,title,duration_seconds,transcript_file,status,word_count,youtube_url
33,v8xZ7ZlJ3ek,Image Processing on Zynq (FPGAs) : Part 5 IP Packaging,1367,033 - Image Processing on Zynq (FPGAs) - Part 5 IP Packaging.txt,pending,0,https://www.youtube.com/watch?v=v8xZ7ZlJ3ek
34,tO5pZ2K9U9I,Image Processing on Zynq (FPGAs) : Part 6 Simulation,2282,034 - Image Processing on Zynq (FPGAs) - Part 6 Simulation.txt,pending,0,https://www.youtube.com/watch?v=tO5pZ2K9U9I
35,r45dkUHIbk4,Image Processing on Zynq (FPGAs) : Part 7 System Integration,903,035 - Image Processing on Zynq (FPGAs) - Part 7 System Integration.txt,pending,0,https://www.youtube.com/watch?v=r45dkUHIbk4
36,IO0hTR3ymdA,Image Processing on Zynq (FPGAs) : Part 8 Software Development and Hardware Evaluation,3097,036 - Image Processing on Zynq (FPGAs) - Part 8 Software Development and Hardware Evaluation.txt,pending,0,https://www.youtube.com/watch?v=IO0hTR3ymdA
37,TcjqZG2pbHw,Image Processing on Zynq (FPGAs) : Part 9 Edge Detection through Sobel operation,1620,037 - Image Processing on Zynq (FPGAs) - Part 9 Edge Detection through Sobel operation.txt,pending,0,https://www.youtube.com/watch?v=TcjqZG2pbHw
38,_o4FbVFLbuw,Video Interfacing with Zynq (FPGAs): Part 1 Introduction,2179,038 - Video Interfacing with Zynq (FPGAs) - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=_o4FbVFLbuw
39,a6OXozk1Ix8,Video Interfacing with Zynq (FPGAs): Part 2 Using Xilinx AXI4 Stream to Video IP,2143,039 - Video Interfacing with Zynq (FPGAs) - Part 2 Using Xilinx AXI4 Stream to Video IP.txt,pending,0,https://www.youtube.com/watch?v=a6OXozk1Ix8
40,cADto95fV7Q,Video Interfacing with Zynq (FPGAs): Part 3 Using Xilinx Video DMA IP (VDMA),1222,040 - Video Interfacing with Zynq (FPGAs) - Part 3 Using Xilinx Video DMA IP (VDMA).txt,pending,0,https://www.youtube.com/watch?v=cADto95fV7Q
41,BXhLFecEPc8,Generating project TCL file and regenerating project from TCL file in Vivado,980,041 - Generating project TCL file and regenerating project from TCL file in Vivado.txt,pending,0,https://www.youtube.com/watch?v=BXhLFecEPc8
42,IGdr4QRrOcs,Video Interfacing with Zynq (FPGAs): Part 4 Developing VDMA Software and hardware Testing,1292,042 - Video Interfacing with Zynq (FPGAs) - Part 4 Developing VDMA Software and hardware Testing.txt,pending,0,https://www.youtube.com/watch?v=IGdr4QRrOcs
43,-i15JlWp57c,Video Interfacing with Zynq (FPGAs): Part 5 Displaying an image on the Monitor,636,043 - Video Interfacing with Zynq (FPGAs) - Part 5 Displaying an image on the Monitor.txt,pending,0,https://www.youtube.com/watch?v=-i15JlWp57c
44,1CfFmKX8uj0,Video Interfacing with Zynq (FPGAs): Part 6 Combining Image Processing and Video Output,1700,044 - Video Interfacing with Zynq (FPGAs) - Part 6 Combining Image Processing and Video Output.txt,pending,0,https://www.youtube.com/watch?v=1CfFmKX8uj0
45,b1UOgNNCT7s,Video Interfacing with Zynq (FPGAs): Part 7 Interfacing ZedBoard with HDMI Monitor,1294,045 - Video Interfacing with Zynq (FPGAs) - Part 7 Interfacing ZedBoard with HDMI Monitor.txt,pending,0,https://www.youtube.com/watch?v=b1UOgNNCT7s
46,_rxgdctIv9U,Developing the Snake Game on Zynq (FPGA): Part 1 Introduction,614,046 - Developing the Snake Game on Zynq (FPGA) - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=_rxgdctIv9U
47,p6ExaJwjr14,Developing the Snake Game on Zynq (FPGA): Part 2 Hardware Design,2327,047 - Developing the Snake Game on Zynq (FPGA) - Part 2 Hardware Design.txt,pending,0,https://www.youtube.com/watch?v=p6ExaJwjr14
48,6hU-mirAGy4,Developing the Snake Game on Zynq (FPGA): Part 3 Software Design,2462,048 - Developing the Snake Game on Zynq (FPGA) - Part 3 Software Design.txt,pending,0,https://www.youtube.com/watch?v=6hU-mirAGy4
49,VJs7_2EHCG4,ZyMouse: Developing a mouse for Zedboard,2732,049 - ZyMouse - Developing a mouse for Zedboard.txt,pending,0,https://www.youtube.com/watch?v=VJs7_2EHCG4
50,KGsFbbbc0sI,Connect6 on Zynq (FPGA): Part 1 Introduction,715,050 - Connect6 on Zynq (FPGA) - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=KGsFbbbc0sI
51,Jg0VjMx0hMs,Connect6 on Zynq (FPGA): Part 2 Hardware Design with Zynq EMIO interface,1113,051 - Connect6 on Zynq (FPGA) - Part 2 Hardware Design with Zynq EMIO interface.txt,pending,0,https://www.youtube.com/watch?v=Jg0VjMx0hMs
52,629nE7fUS2M,Connect6 on Zynq (FPGA): Part 3 Software development,1282,052 - Connect6 on Zynq (FPGA) - Part 3 Software development.txt,pending,0,https://www.youtube.com/watch?v=629nE7fUS2M
53,UvqQ2kTrtPQ,Converting Images into Binary files for Processing (using Matlab),777,053 - Converting Images into Binary files for Processing (using Matlab).txt,pending,0,https://www.youtube.com/watch?v=UvqQ2kTrtPQ
54,ecUgYJ6H9F8,Converting Images into Binary files for Processing (using OpenCV),167,054 - Converting Images into Binary files for Processing (using OpenCV).txt,pending,0,https://www.youtube.com/watch?v=ecUgYJ6H9F8
55,mdRYY-mpMYI,Xilinx XSCT Part 1: Transferring Image data between Computer and Zedboard,1141,055 - Xilinx XSCT Part 1 - Transferring Image data between Computer and Zedboard.txt,pending,0,https://www.youtube.com/watch?v=mdRYY-mpMYI
56,VfYzpvr-0y0,Xilinx XSCT Part 2: Programming and Scripting,1231,056 - Xilinx XSCT Part 2 - Programming and Scripting.txt,pending,0,https://www.youtube.com/watch?v=VfYzpvr-0y0
57,i_zWX0mBt1k,Reading and Writing from SD Card (Binary files),1298,057 - Reading and Writing from SD Card (Binary files).txt,pending,0,https://www.youtube.com/watch?v=i_zWX0mBt1k
58,nrEt1RJU5pQ,Reading and Writing to SD Card (Text files) and System Monitor,2028,058 - Reading and Writing to SD Card (Text files) and System Monitor.txt,pending,0,https://www.youtube.com/watch?v=nrEt1RJU5pQ
59,kT74m-H31a8,Partial Reconfiguration: Part 1 Introduction,1516,059 - Partial Reconfiguration - Part 1 Introduction.txt,pending,0,https://www.youtube.com/watch?v=kT74m-H31a8
60,eGB8-zHsCQg,Partial Reconfiguration: Part 2 Hardware Design Flow,2970,060 - Partial Reconfiguration - Part 2 Hardware Design Flow.txt,pending,0,https://www.youtube.com/watch?v=eGB8-zHsCQg
61,FlESrSElt2s,Partial Reconfiguration: Part 3 Hardware Verification,502,061 - Partial Reconfiguration - Part 3 Hardware Verification.txt,pending,0,https://www.youtube.com/watch?v=FlESrSElt2s
62,znvwQPRZSpg,Partial Reconfiguration: Part 4 Processor Configuration Access Port (PCAP),1511,062 - Partial Reconfiguration - Part 4 Processor Configuration Access Port (PCAP).txt,pending,0,https://www.youtube.com/watch?v=znvwQPRZSpg
63,0F-L47ljR7A,Partial Reconfiguration: Part 5 Internal Configuration Access Port (ICAP),1844,063 - Partial Reconfiguration - Part 5 Internal Configuration Access Port (ICAP).txt,pending,0,https://www.youtube.com/watch?v=0F-L47ljR7A
64,rw_JITpbh3k,Neural Networks on FPGA: Part 1: Introduction,1340,064 - Neural Networks on FPGA - Part 1 - Introduction.txt,pending,0,https://www.youtube.com/watch?v=rw_JITpbh3k
65,a2wOjxRf_xg,Neural Networks on FPGA: Part 2: Designing a Neuron,2127,065 - Neural Networks on FPGA - Part 2 - Designing a Neuron.txt,pending,0,https://www.youtube.com/watch?v=a2wOjxRf_xg
66,Tsu3q2iyab4,Neural Networks on FPGA: Part 3: Activation Functions,1711,066 - Neural Networks on FPGA - Part 3 - Activation Functions.txt,pending,0,https://www.youtube.com/watch?v=Tsu3q2iyab4
67,isTyUfgBatE,Neural Networks on FPGA: Part 4: Which one is better? ReLU or Sigmoid,802,067 - Neural Networks on FPGA - Part 4 - Which one is better - ReLU or Sigmoid.txt,pending,0,https://www.youtube.com/watch?v=isTyUfgBatE
68,FDefITq14T0,Neural Networks on FPGA: Part 5: Designing the Layers,735,068 - Neural Networks on FPGA - Part 5 - Designing the Layers.txt,pending,0,https://www.youtube.com/watch?v=FDefITq14T0
69,0_BGMfz23MU,Neural Networks on FPGA: Part 6: Hardware wrap up,959,069 - Neural Networks on FPGA - Part 6 - Hardware wrap up.txt,pending,0,https://www.youtube.com/watch?v=0_BGMfz23MU
70,AUBtT6e74Cw,Neural Networks on FPGA: Part 7: Verification,995,070 - Neural Networks on FPGA - Part 7 - Verification.txt,pending,0,https://www.youtube.com/watch?v=AUBtT6e74Cw
71,8MVy-5xh2n8,"Neural Networks on FPGA: Part 8: Generating weights, biases and test data",1228,"071 - Neural Networks on FPGA - Part 8 - Generating weights, biases and test data.txt",pending,0,https://www.youtube.com/watch?v=8MVy-5xh2n8
72,ANaweaQW_0k,"Neural Networks on FPGA: Part 9: Generating weights, biases and test data from TensorFlow",762,"072 - Neural Networks on FPGA - Part 9 - Generating weights, biases and test data from TensorFlow.txt",pending,0,https://www.youtube.com/watch?v=ANaweaQW_0k
73,3z_Eh3PSXKk,Neural Networks on FPGA: Part 10: Automatic Generation of Neural Networks for FPGAs,1523,073 - Neural Networks on FPGA - Part 10 - Automatic Generation of Neural Networks for FPGAs.txt,pending,0,https://www.youtube.com/watch?v=3z_Eh3PSXKk
74,f0ydpnir8Bg,Neural Networks on FPGA: Part 11: Hardware Validation,501,074 - Neural Networks on FPGA - Part 11 - Hardware Validation.txt,pending,0,https://www.youtube.com/watch?v=f0ydpnir8Bg
75,z-ULdLuhKAU,Connecting ZedBoard with Wifi through ESP8266 Part 1,2172,075 - Connecting ZedBoard with Wifi through ESP8266 Part 1.txt,pending,0,https://www.youtube.com/watch?v=z-ULdLuhKAU
76,UNQI51EG8Dk,Connecting ZedBoard with Wifi. Controlling Peripherals Part 2,1223,076 - Connecting ZedBoard with Wifi. Controlling Peripherals Part 2.txt,pending,0,https://www.youtube.com/watch?v=UNQI51EG8Dk
77,v_N-w24BcSk,Connecting ZedBoard with Wifi. Controlling Peripherals Programmatically Part 3,939,077 - Connecting ZedBoard with Wifi. Controlling Peripherals Programmatically Part 3.txt,pending,0,https://www.youtube.com/watch?v=v_N-w24BcSk
78,iBAnGLZ6fMY,Network on Chip (NoC) with FPGAs|Part 1|Introduction,871,078 - Network on Chip (NoC) with FPGAs - Part 1 - Introduction.txt,pending,0,https://www.youtube.com/watch?v=iBAnGLZ6fMY
79,zVD0MJ00ZZQ,Network on Chip (NoC) with FPGAs|Part 2|Design of a Torus NoC,1441,079 - Network on Chip (NoC) with FPGAs - Part 2 - Design of a Torus NoC.txt,pending,0,https://www.youtube.com/watch?v=zVD0MJ00ZZQ
80,SnAdaL7UZz4,Hardware Software CoDesign with Vivado and Vitis,563,080 - Hardware Software CoDesign with Vivado and Vitis.txt,pending,0,https://www.youtube.com/watch?v=SnAdaL7UZz4
81,LU9hP7KLDgE,Xillinx Vitis Introduction| Hello World with Vitis,542,081 - Xillinx Vitis Introduction - Hello World with Vitis.txt,pending,0,https://www.youtube.com/watch?v=LU9hP7KLDgE
82,6pugIsBIWFM,Histogram Equalization IP,4969,082 - Histogram Equalization IP.txt,pending,0,https://www.youtube.com/watch?v=6pugIsBIWFM
83,_gR5rXwyTEA,Ethernet with Standalone,1563,083 - Ethernet with Standalone.txt,pending,0,https://www.youtube.com/watch?v=_gR5rXwyTEA
84,-Gt9VRsfPjU,AM Modulator Part-1,2446,084 - AM Modulator Part-1.txt,pending,0,https://www.youtube.com/watch?v=-Gt9VRsfPjU
85,sXQDcfBtu5o,"Xilinx DPU  End‑to‑End FPGA Deployment (by Mukesh Narayana, PhD Candidate, BITS Goa)",6172,"085 - Xilinx DPU End‑to‑End FPGA Deployment (by Mukesh Narayana, PhD Candidate, BITS Goa).txt",pending,0,https://www.youtube.com/watch?v=sXQDcfBtu5o
